Fund Manager,Fund Name,Fund Code,Inception Date,Fund Category,Fund Short Name,Subcategory,Fund Objective,Fund Benchmark,Risk Category,Inception Price,Unit Holder,Investment %
Aljazira Capital,AlJazira International Equities Fund,2001,21-SEP-98,Equity Funds - International/ Global,AlJazira International Equities,Shari'ah Compliant,Providing investors with the opportunity to participate in the global stock market and achieve long-term capital growth through a diversified portfolio of shares compatible with the provisions of Islamic Sharia.,Dow Jones Islamic Market Index Total return (DJIMT),,0,0,0
Aljazira Capital,AlJazira Saudi Equities Fund,2002,04-DEC-99,Equity Funds - Local,AlJazira Saudi Equities,Shari'ah Compliant,The Fund primary objectives is to provide the opportunity for investors to take part in the Saudi equity market and achieve capital gains at a higher rate than the benchmark on the long run through diversified Shariah compliant equities,S&P Composite Shariah Saudi Market Index,,100,397,0
Aljazira Capital,AlJazira European Equities Fund,2003,16-SEP-99,Equity Funds - International/ Global,AlJazira European Equities,Shari'ah Compliant,The Fund's primary objective is to provide the opportunity for investors to take part in the European Equity Markets and achieve capital gains in the long run through diversified Shariah Compliant Equities,Dow Jones Islamic Market Europe Total Return Index,,0,0,0
Aljazira Capital,AlJazira Japanese Equities Fund,2004,17-APR-20,Equity Funds - International/ Global,AlJazira Japanese Equities,Shari'ah Compliant,It is to provide investors with the opportunity to participate in the Japanese stock market and achieve long-term capital growth through a diversified portfolio of shares compatible with the provisions of Islamic Sharia,Dow Jones Islamic Japanese market Index (DJIJPT),,0,0,0
Aljazira Capital,AlJazira Saudi Riyal Murabaha Fund,2005,26-NOV-00,Money Market Funds - Local,AlJazira Saudi Riyal Murabaha,Shari'ah Compliant,The fund aims to preserve capital while achieving a competitive return compared to the benchmark with low risks while providing liquidity within a short period,SIBOR 1 - Month,,0,0,0
Aljazira Capital,ALJAZIRA GLOBAL EMERGING MARKETS FUND,2007,01-JAN-13,Equity Funds - International/ Global,EMERGING FUND,Shari'ah Compliant,To achieve capital growth in the long term through investing in global emerging markets equitys investment portfolio at the country and sector levels and selecting the best corporate stocks,Dow Jones Islamic Market World Emerging Markets Total Return Index,,0,0,0
Aljazira Capital,AlJazira Asset Allocation Fund - Conservative Strategy,2008,09-MAR-13,Funds of Funds,Conservative Strategy Fund,Shari'ah Compliant,The fund aims for medium to long-term capital growth focusing as much as possible on capital preservation by investing in a diversified portfolio of asset classes.,Composite Index,,0,0,0
Aljazira Capital,AlJazira Asset Allocation Fund - Moderate Strategy,2009,09-MAR-13,Funds of Funds,Moderate Strategy Fund,Shari'ah Compliant,The fund aims to achieve a balance between capital growth and capital preservation over the medium to long term by investing in a diversified portfolio of asset classes,Composite Index,,0,0,0
Aljazira Capital,AlJazira Asset Allocation Fund - Growth Strategy,2010,09-MAR-13,Funds of Funds,Growth Strategy Fund,Shari'ah Compliant,The fund aims for medium to long-term capital growth by investing in a diversified portfolio of asset classes,Composite Index,,0,0,0
Aljazira Capital,AlJazira GCC Income Fund,2011,28-JUL-13,Equity Funds - Arabian,AlJazira GCC Income,Shari'ah Compliant,To achieve capital growth in the long term and provide income through dividends from GCC equities that are Shariah compliant The fund will focus on dividend distributing equities The fund also aims to surpass the benchmark index of Standard & Poor GCC Composite Shariah Index,S&P GCC Composite Shariah index (SPSHG),,0,0,0
Aljazira Capital,Al Jazira USD Murabaha Fund,2013,10-FEB-19,Money Market Funds - Local,Al Jazira USD Murabaha,Shari'ah Compliant,Aljazira USD Murabaha Fund aims to outperform the benchmark return with low risk and to provide high liquidity in short term by investing in Murabaha and Compound Murabaha and Ijarah contracts short term securities and Murabah Funds and trade finance contracts and treasury products that comply with funds Shariah parameters. The fund also invests in Sukuk and Sukuk Funds and any other investments and funds with similar risk level,LIBOR 1 - Month,,0,0,0
Aljazira Capital,Aljazira Sukuk Fund,2014,23-AUG-20,Equity Funds - International/ Global,Sukuk Fund,Shari'ah Compliant,The fund aims to generate income in the medium to long term and to disburse cash dividends to investors,Dow Jones Sukuk Total Return Index (ex-Reinvestment ),,0,0,0
Alistithmar for Financial Securities and Brokerage,Alistithmar Capital SAR Murabaha Fund,3100,30-JUN-03,Money Market Funds - Saudi Riyal Murabaha,Alistithmar Capital Murabaha Fund,Shari'ah Compliant,The fund aims to generate steady capital growth while maintaining adequate liquidity by investing in a diversified mix of Shariah compliant financial instruments,ONE MONTH SAIBOR,,0,0,0
Alistithmar for Financial Securities and Brokerage,Alistithmar Capital Saudi Equity Fund,3200,24-JUL-04,Equity Funds - Local,Alistithmar Capital Saudi Equity Fund,-,The fund aims to achieve long-term capital growth through investing in saudi equities and IPOs in the Saudi stock market,TASI-Tadawul All Share Index,,0,0,0
Alistithmar for Financial Securities and Brokerage,Alistithmar Capital Saudi Companies Fund,3201,23-APR-05,Equity Funds - Local,Alistithmar Capital Saudi Companies Fund,Shari'ah Compliant,The fund aims to achieve long-term capital growth through investing in saudi equities and IPOs in the Saudi stock market,S&P Saudi Arabia Sharia Index,,0,0,0
Alistithmar for Financial Securities and Brokerage,Alistithmar Capital MENA Equity Fund,3210,24-JUL-04,Equity Funds - Arabian,MENA Equity Fund,-,Achieve long term growth through diversified investments in equities listed in GCC & Arab markets,S&P Pan Arab Composite,,0,0,0
Alistithmar for Financial Securities and Brokerage,Alistithmar Capital Freestyle Saudi Equity Fund,3214,15-NOV-21,Equity Funds - Local,Freestyle Saudi Equity Fund,Shari'ah Compliant,The fund aims to achieve long-term capital growth through investing in concentrated Shariah compliant Saudi equities and IPOs in the Saudi stock market.,S&P Saudi Arabia Shari'a Index,,0,0,0
Alistithmar for Financial Securities and Brokerage,Alistithmar Capital Quarterly Dividend Fund,3215,04-APR-23,Multi - Assets Funds,Quarterly Dividend Fund,Shari'ah Compliant,The main objective of Alistithmar Cpital Quarterly fund is to provide untiholders with periodical income through investing in a portfolio of diversified Shariah comliant assets,30% S&P Saudi Shariah index (price return) 70% six months SAIBOR,,0,0,0
SAB Invest,Saudi Riyal Money Market Fund,4001,02-DEC-94,Money Market Funds - Local,YSR,-,The fund aims to achieve steady growth of the invested capital while preserving the invested capital in the maximum possible way.,1 M SIBOR,,0,0,0
SAB Invest,Al Yusr Saudi Equity Fund,4003,22-JUL-95,Equity Funds - Local,AAF,Shari'ah Compliant,The fund aims to grow the invested capital in the long term.,4.36,,0,0,0
SAB Invest,Saudi Financial Institutions Equity Fund,4004,22-JUL-95,Equity Funds - Local,SFF,-,local financial institutional funds,-5.38,,0,0,0
SAB Invest,Al Yusr SAR Morabaha Fund,4009,26-DEC-01,Money Market Funds - Saudi Riyal Murabaha,YMF,Shari'ah Compliant,The Fund aims to achieve steady growth of the invested capital while preserving the invested capital in the maximum possible manner.,1 M SAIBOR,,0,0,0
SAB Invest,Saudi Equity Fund,4017,30-NOV-05,Equity Funds - Local,SSE,-,The fund aims to grow the invested capital in the long term.,1.50,,0,0,0
SAB Invest,GCC Equity Fund,4018,30-NOV-05,Equity Funds - GCC,GEF,-,The fund aims to grow the invested capital in the long term.,-0.28,,0,0,0
SAB Invest,Al Yusr Sukuk & Morabaha Fund,4019,25-APR-07,Bond/ Debt Funds - International,YMS,Shari'ah Compliant,The Fund aims to steadily develop the invested capital while preserving it.,6 M SAIBOR,,0,0,0
SAB Invest,SAB Invest Saudi Equity Fund,6003,12-DEC-92,Equity Funds - Local,SEF,-,The Fund follows an active investment strategy by investing in listed companies in the Saudi Stock Exchange. This investment includes Saudi British Bank SABB and SABB Takaful shares according to the components of Tadawul Saudi Index.,S&P Saud Index (TR),,0,0,0
SAB Invest,SAB Invest Saudi Equity Income Fund,6013,01-NOV-97,Equity Funds - Local,SSF,Shari'ah Compliant,To achieve long-term growth in capital and income through investment in listed equites in Saudi Stock Market.,S&P Saudi Sharia Index (TR),,0,0,0
SAB Invest,SAB Invest Saudi Riyal Murabaha Fund,6014,05-DEC-98,Money Market Funds - Saudi Riyal Murabaha,ART,Shari'ah Compliant,Fund infoThe Fund will follow an active investment strategy where a majority of the Fund's assets are invested in well-diversified low risk commodity trading with local and internationally reputable agents who have sound financial backing,0,,0,0,0
SAB Invest,SAB Invest US Dollar Murabaha Fund,6015,05-DEC-98,Money Market Funds - Foreign Currency Murabaha,AUT,Shari'ah Compliant,Fund info The Fund will follow an active investment strategy where a majority of the Fund's assets are invested in well-diversified low risk commodity trading with local and internationally reputable agents who have sound financial backing,0,,0,0,0
SAB Invest,SAB Invest Saudi Companies Equity Fund,6019,01-MAY-04,Equity Funds - Local,ASF,Shari'ah Compliant,To provide long term capital growth by investing in a diversified portfolio of Shariah-compliant equities with an official listing on the Saudi Stock Market. The fund will pursue its objective through active management of portfolio of Shariah-compliant equities. The fund will strictly adhere to Shariah investment guidelines approved by the shariah Supervisory Committee of the fund,S&P Saudi Sharia Index (TR),,0,0,0
SAB Invest,SAB Invest Saudi Financial Institutions Equity Fund,6020,31-JUL-04,Equity Funds - Local,FIF,-,Fund infoTo provide medium to long-term equity linked growth by investing in the shares of Saudi Arabian and other GCC Financial Institutions.,S&P Saud Banks Index (TR),,0,0,0
SAB Invest,SAB Invest Global Equity Index Fund,6021,13-JUL-04,Equity Funds - International/ Global,AEF,Shari'ah Compliant,To provide long-term appreciation of capital through investment in a portfolio of Shariah compliant equities that constitute Dow Jones Islamic Market Titans 100 Index listed worldwide,0,,0,0,0
SAB Invest,SAB Invest Multi Assets Defensive Fund,6022,28-DEC-04,Multi - Assets Funds,DAF,Shari'ah Compliant,Fund infomutual funds that meet Shariah standards. The Fund invests a high percentage of assets in money market funds which includes Murabaha and / or sukuk transactions as well as a limited percentage of assets in local regional and global equity funds.,0,,0,0,0
SAB Invest,SAB Invest Multi Assets Balanced Fund,6023,28-DEC-04,Multi - Assets Funds,BAF,Shari'ah Compliant,Fund infocompliant. The Fund invests in a different percentage from its assets in money market funds which includes Murabaha and / or sukuk transactions as well as a different percentage of assets in local regional and global equity funds.,0,,0,0,0
SAB Invest,SAB Invest Multi Assets Growth Fund,6024,28-DEC-04,Multi - Assets Funds,AGP,Shari'ah Compliant,To achieve medium to long-term capital growth through investing in equity markets distribution of assets at different rates in mutual funds that investing in listed companies in local regional and global markets as well as investing in money markets and debt markets.,0,,0,0,0
SAB Invest,SAB Invest Saudi Industrial Companies Equity Fund,6026,01-APR-05,Equity Funds - Local,ISF,Shari'ah Compliant,The fund aims is to achieve capital growth over the medium to long term by investing in industrial Shariah compliant companies listed within Saudi Equity Market.,SAB Invest Saudi Industrial Companies Sharia Index(TR),,0,0,0
SAB Invest,SAB Invest China and India Equity Freestyle Fund,6027,12-DEC-05,Equity Funds - International/ Global,IAF,Shari'ah Compliant,Fund infoTo seek long-term returns capital growth and income through investing in a diversified portfolio of investment in shares of sharia compliant companies with official listing on a major Stock Exchange or other Regulated market of the China or India,0,,0,0,0
SAB Invest,SAB Invest GCC Equity Fund,6028,02-APR-06,Equity Funds - GCC,GCF,Shari'ah Compliant,Fund infoThe Fund will achieve its objectives through the active management of an investment portfolio that meets the Shariah standards of the Fund and invests in listed companies in various GCC stock markets,S&P GCC Equity Composit Sharia Index (TR),,0,0,0
SAB Invest,SAB Invest Saudi Construction and Cement Companies Equity Fund,6032,22-SEP-08,Equity Funds - Local,HCC,Shari'ah Compliant,he fund aims to achieve capital growth over the medium to long term by investing in a portfolio of selected Saudi construction and cement equities in companies listed on the Saudi Equity Market.,SAB Invest Saudi Construction and Cement Companies Sharia Index (TR),,0,0,0
SAB Invest,SAB Invest Saudi Freestyle Equity Fund,6036,07-JAN-12,Equity Funds - Local,AAE,Shari'ah Compliant,Fund infoThe Fund is an open-ended fund aiming to achieve capital growth in the medium to long term by investing in an investment portfolio of shares in companies listed on the Saudi Stock Exchange with Shariah Compliant standards and approved by the Shariah Board of the Fund.,0,,0,0,0
SAB Invest,SAB Invest Sukuk Fund,6037,25-MAR-12,Bond/ Debt Funds - International,AGF,Shari'ah Compliant,The Fund will aim to achieve over the medium to long-term capital preservation and growth by investing in local and international Sukuk.,0,,0,0,0
SAB Invest,SAB Invest GCC Equity Income Fund,6038,10-JUN-12,Equity Funds - GCC,GPF,Shari'ah Compliant,The Fund seeks to achieve long-term capital growth and income by investing in sharia compliant equities listed on the GCC stock markets that offer sustainable dividend yields and/or the potential for dividend growth over the long term,S&P GCC Equity Composit Sharia Index (TR),,0,0,0
Saudi Fransi Capital,US Dollar Money Market Fund,5009,15-NOV-86,Money Market Funds - International,USD MMF,-,to provide liquidity and capital preservation,1 week Libor rate,,1,0,0
Saudi Fransi Capital,Saudi Riyal Money Market Fund,5010,11-JUL-87,Money Market Funds - Local,SAR MMF,-,to provide liquidity and capital preservation.,1week SAR deposit rate,,10,0,0
Saudi Fransi Capital,Saudi Istithmar Equity Fund,5011,05-JUN-93,Equity Funds - Local,Istithmar,-,A fund to invest in shares listed in Saudi Arabia for a period of medium-and long-term,Saudi Arabia Top 40 Index SP Custom Indices,,1000,547,0
Saudi Fransi Capital,Al-Badr Murabaha Fund - US Dollars,5012,18-AUG-97,Money Market Funds - Foreign Currency Murabaha,Al Badr USD,Shari'ah Compliant,Fund is compatible with the shariaa law and aims to provide liquidity and capital preservation,1 Week LIBOR rate-20bps,,1,0,0
Saudi Fransi Capital,Al-Badr Murabaha Fund - SAR,5016,01-SEP-99,Money Market Funds - Saudi Riyal Murabaha,AlBadr- Riyal,Shari'ah Compliant,Fund is compatible with the shariaa law and aims to provide liquidity and capital preservation,1week SAR Deposit rate 20 bps,,10,0,0
Saudi Fransi Capital,Al-Saffa Saudi Equity Trading Fund,5020,17-JUL-05,Equity Funds - Local,Al-Saffa,Shari'ah Compliant,Medium and long-term capital growth,Saudi Arabia Shariah Top 40 Index SandP Custom Indices,,0,0,0
Saudi Fransi Capital,Al-Danah GCC Equity Trading Fund,5022,17-APR-06,Equity Funds - GCC,Al Danah,Shari'ah Compliant,To provide mediumto long-term capital growth,GCC Shariah Capped Equity Index,,0,0,0
Saudi Fransi Capital,Al-Qasr GCC Real Estate and Construction Equity Trading Fund,5024,16-APR-07,Equity Funds - Arabian,Al Qasr,Shari'ah Compliant,To provide medium to long term capital growth,GCC sharia Capped Real Estate and Construction Equity index,,10,0,0
Saudi Fransi Capital,SAUDI FRANSI CAPITAL SAUDI EQUITY INCOME FUND,5028,20-FEB-14,Equity Funds - Local,SAUDI EQUITY INCOME FUND,Shari'ah Compliant,Medium and long-term capital growth,SFC Saudi Arabia Shariah Top 40 Index,,10,0,0
Saudi Fransi Capital,Saudi Fransi GCC IPO Fund,5029,24-JUN-15,Equity Funds - Arabian,SFC GCC IPO Fund,Shari'ah Compliant,Long-term capital growth,IdealRatings IPO Index (calculated by IdealRatings),,10,0,0
Saudi Fransi Capital,Saudi Fransi Capital Fixed Income Fund Class A,5030,08-APR-22,Bond/ Debt Funds - Local,SFC Fixed Income Class A,Shari'ah Compliant,Investment objective would be to generate income and capital appreciation through investment in Sharia compliant sukuk,Ideal Ratings Global Sukuk Active Index-Price Return,,0,0,0
Saudi Fransi Capital,Saudi Fransi Capital Fixed Income Fund Class B,5031,08-APR-22,Bond/ Debt Funds - Local,SFC Fixed Income Class B,Shari'ah Compliant,Investment objective would be to generate income and capital appreciation through investment in Sharia compliant sukuk,Ideal Ratings Global Sukuk Active Index-Price Return,,0,0,0
anb capital,anb capital Saudi Equity Fund,8001,01-APR-92,Equity Funds - Local,anbc Saudi Equity Fund,-,The investment objective of the fund is to invest in a broadly diversified portfolio of Saudi Arabian equities.,TASI,,0,0,0
anb capital,anb capital Saudi Equity Fund (Shariah),8002,01-MAY-93,Equity Funds - Local,anbc Saudi Equity Fund (Shariah),Shari'ah Compliant,The investment objective of the fund is to invest in a broadly diversified portfolio of Saudi Arabian equities that are Shariah-compliant.,S&P Saudi Shariah Domestic,,0,0,0
anb capital,anb capital SAR Trade Fund (Shariah),8003,01-JAN-93,Money Market Funds - Saudi Riyal Murabaha,AM-SAR Trade,Shari'ah Compliant,The investment objective of the fund is to provide capital preservation and short term capital growth through investing in Shariah-compliant conservative transaction (Murabaha & Ijara).,Indicative 1m Murabaha (SAR),,0,0,0
anb capital,anb capital USD Trade Fund (Shariah),8004,01-JAN-93,Money Market Funds - Local,anbc USD Trade Fund,Shari'ah Compliant,The investment objective of the fund is to provide capital preservation and short-term capital growth through investing in Shariah-compliant conservative transactions.,Indicative 1 Month (SOFR),,0,0,0
anb capital,anb capital Balanced Fund,8007,11-AUG-01,Multi - Assets Funds,anbc Balanced Fund,-,The fund aims to achieve medium term capital appreciation and to reduce capital loss by investing in various medium risk asset classes on a global basis.,50% One Month LIBOR 25% MSCI World 25% TASI,,0,0,0
anb capital,anb capital Pure Saudi Equity Fund (Shariah),8020,25-OCT-05,Equity Funds - Local,anbc Pure Equity Fund,Shari'ah Compliant,The investment objective of the fund is long-term growth of capital through investments in a broadly diversified portfolio of pure Shariah compliant Saudi Arabian equity securities including Murabaha transactions.,anb Saudi Pure Companies,,0,0,0
anb capital,anb capital IPO Fund (Shariah),8030,21-FEB-16,Equity Funds - Local,anbc IPO Fund (Shariah),Shari'ah Compliant,Investment objective of the fund is long-term capital growth through investments in Shariah compliant IPOs/ right issues in Saudi Stock Market.,anb Saudi Shariah IPO Index (S&P),,0,0,0
anb capital,anb capital Saudi Sovereign Sukuk Fund (Shariah),8031,05-JAN-20,Bond/ Debt Funds - Local,anbc Sovereign Sukuk,Shari'ah Compliant,The investment objective of the fund is to achieve  long term growth  through investing in Saudi Riyal Sovereign Sukuk Issued by the government of Saudi Arabia and Shariah-compliant money markets instruments.,SAIBOR 3 Months,,0,0,0
anb capital,anb capital Opportunistic Fund,8040,02-APR-23,Equity Funds - Local,Opportunistic Fund,-,The fund seeks best absolute performance by taking advantage of market movements and mispricing opportunity. As an opportunistic fund security selection is a tactical in nature with a combination of deep value and momentum. The geographic and sector allocation is based on a combination of available opportunities diversification and risk considerations,TASI as a reference for comparison with the fund's performance only,,0,0,0
anb capital,anb capital Dividends Equity Fund (Shariah),8041,21-DEC-22,Equity Funds - Local,anbc Dividends Equity Fund (Shariah),Shari'ah Compliant,The fund aims to invest in a broadly diversified portfolio of Saudi Arabian equities.,Ideal Rating Share Dividend,,0,0,0
anb capital,anb capital Opportunistic Fund (Shariah),8042,01-MAY-23,Equity Funds - Local,anbc Opportunistic Fund (Shariah),Shari'ah Compliant,The Fund seeks to maximize its absolute performance by taking advantage of market movements and mispricing opportunities. As an opportunistic fund security selection is tactical in nature. The geographic and sector allocation is based on the combination of available opportunities and diversification and risk considerations.,S&P Sharia-compliant stock index as a reference for comparison with the fund's performance only,,0,0,0
SNB Capital,SNB Capital Al Sunbullah SAR,9003,13-NOV-86,Money Market Funds - Local,Sunbullah Riyal,Shari'ah Compliant,The Fund investment objective is to achieve competitive returns and capital growth while preserving capital as much as possible by investing in cash and fixed income instruments mutual funds and financial securities where these investments are denominated in Saudi Riyals or any foreign currency and in compliance with the Sharia Committee guidelines.,A blended Benchmark consisting of 60% of the 30-day rolling average of the 1 month Saudi Riyal Interbank Bid Rate (SAIBID) and 40% of the 30-day rolling average of the 5-year Saudi Riyal bid swap rate,,0,0,0
SNB Capital,SNB Capital Al Sunbullah USD,9004,05-DEC-86,Money Market Funds - Foreign Currency Murabaha,Sunbullah USD,Shari'ah Compliant,Capital Preservation,US LIBOR 1 month Index,,0,0,0
SNB Capital,SNB Capital Al Musahem Saudi Equity Fund,9006,16-MAY-92,Equity Funds - Local,Al Musahem,-,Growth,S&P Saudi Arabia Domestic price in Local Currency Index,,0,0,0
SNB Capital,SNB Capital Al Razeen SAR Liquidity Fund,9010,31-OCT-88,Money Market Funds - Local,Al Razeen Riyal,-,Capital Preservation,SIBOR 1 month Index,,0,0,0
SNB Capital,SNB Capital Al Razeen USD Liquidity Fund,9011,30-SEP-87,Money Market Funds - International,Al Razzen USD,-,Capital Preservation,US LIBOR 1 Month Index,,0,0,0
